Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
YUNSA,29-04-2024,90.6,22.02,61.27,79.95,78.41,77.56,76.94,80.96,78.15,77.63,77.25,40.35,85.17,4898953.67,66.99,+,+,+,+,+,+,+,+_29-04-2024 09:00:00,+_29-04-2024 09:00:00,+,+,+,+,,+,,+,,,+,+,,15,0
TUCLK,29-04-2024,12.98,12.19,186.21,12.23,12.23,12.26,12.16,12.26,12.24,12.09,12.38,5.85,12.36,15545776.67,55.79,+,+,+,,,+,+,+_29-04-2024 09:00:00,+_29-04-2024 09:00:00,,,+,+,+,-,,+,+,+,,+,,12,1
MRSHL,29-04-2024,2462.0,15.97,144.94,2267.96,2251.76,2211.94,2096.88,2279.45,2246.2,2237.29,2272.62,762.19,2358.33,281624.0,62.35,+,+,+,+,,,+,+_29-04-2024 09:00:00,+_22-08-2022 09:00:00,,,+,+,,+,,+,+,+,,+,,12,0
KONTR,29-04-2024,269.0,11.43,72.03,251.02,249.96,249.95,249.05,252.28,249.91,246.46,251.46,101.66,258.97,18182911.67,55.97,+,+,+,+,+,+,+,+_29-04-2024 09:00:00,+_29-04-2024 09:00:00,,,,+,,,,,+,+,,+,,11,0
ESCOM,29-04-2024,98.2,28.96,84.21,84.01,81.35,77.41,71.46,85.35,80.57,81.16,80.99,29.36,90.77,3074900.33,73.33,+,+,,,,,,+_22-01-2024 09:00:00,+_15-01-2024 09:00:00,+,,+,+,,+,,+,+,+,+,+,,11,0
PARSN,29-04-2024,122.9,13.27,80.66,114.34,113.01,111.82,110.48,115.17,112.71,111.94,112.95,63.42,118.7,2881948.67,58.47,+,+,+,+,,,+,+_29-04-2024 09:00:00,+_08-04-2024 09:00:00,,,+,+,,+,,+,,,+,+,,11,0
KLNMA,29-04-2024,17.3,10.19,13.14,16.44,16.36,16.3,16.1,16.5,16.34,16.36,16.37,9.14,16.53,1487516.33,54.28,+,+,+,+,+,,+,+_29-04-2024 09:00:00,+_12-02-2024 09:00:00,,,+,+,,-,,+,,,,+,,10,1
OSMEN,29-04-2024,310.75,46.24,360.34,244.08,234.03,226.15,217.75,250.43,232.0,230.16,228.11,93.27,285.07,1280192.33,72.06,,,,+,+,,+,+_29-04-2024 09:00:00,+_22-01-2024 09:00:00,+,,,+,,+,,,+,+,+,+,,10,0
AGYO,29-04-2024,9.83,11.7,54.58,9.14,9.11,9.09,8.93,9.19,9.11,8.97,9.15,5.02,9.49,19170080.0,57.92,,+,+,+,+,+,+,+_29-04-2024 09:00:00,+_29-04-2024 09:00:00,,,,+,,+,,+,,,,+,,10,0
DIRIT,29-04-2024,18.5,19.97,61.34,16.42,16.23,15.83,14.86,16.56,16.17,16.03,16.42,6.42,17.74,856644.33,62.7,,+,,+,+,,+,+_29-04-2024 09:00:00,+_19-06-2023 09:00:00,,,,+,,+,,,+,+,,+,,9,0
ISDMR,29-04-2024,37.86,5.11,38.19,36.42,36.46,36.61,36.7,36.51,36.5,36.01,36.81,25.57,37.72,17827671.67,53.76,,+,+,,,,+,+_29-04-2024 09:00:00,-_25-03-2024 09:00:00,,,,+,,+,,,+,+,,+,+,9,0
DOFER,29-04-2024,43.2,16.57,139.59,40.79,41.2,41.3,40.74,40.71,41.29,40.59,42.67,38.84,41.11,8708926.67,53.5,+,+,+,,,+,,-_25-03-2024 09:00:00,+_29-04-2024 09:00:00,,,+,+,,,+,+,+,,,,,9,0
YBTAS,29-04-2024,188000.0,9.3,1.41,182838.75,182284.04,178326.49,168326.42,182790.64,181758.42,183524.94,183892.83,66141.59,182733.33,69.67,58.27,+,+,+,+,,,+,+_29-04-2024 09:00:00,+_10-07-2023 09:00:00,-,,+,+,,+,,+,,,,,,9,1
PAGYO,29-04-2024,40.28,4.08,146.91,39.41,39.42,39.34,38.91,39.43,39.42,39.25,39.7,22.09,40.43,1896679.0,55.17,+,+,+,,+,,+,+_29-04-2024 09:00:00,+_08-01-2024 09:00:00,,,+,,,+,,,+,+,,,,9,0
KAYSE,29-04-2024,34.66,11.38,201.31,32.13,32.18,32.78,33.6,32.29,32.28,31.45,32.39,33.38,33.82,28406850.33,51.77,,+,+,,,,+,+_29-04-2024 09:00:00,-_25-12-2023 09:00:00,,,,+,,,+,,+,+,,+,+,9,0
UMPAS,29-04-2024,13.98,22.63,61.28,12.54,12.24,11.71,10.88,12.67,12.13,12.36,12.13,4.17,13.32,847413.0,65.59,+,+,,,,,,+_29-01-2024 09:00:00,+_10-07-2023 09:00:00,,,+,+,,+,,,+,+,+,+,,9,0
VKGYO,29-04-2024,2.26,10.78,0.45,2.08,2.06,2.05,2.04,2.1,2.06,2.04,2.05,1.38,2.19,298755400.0,60.32,,,,+,+,+,+,+_29-04-2024 09:00:00,+_29-04-2024 09:00:00,,,,+,,+,,,,,+,+,+,9,0
SMRTG,29-04-2024,61.4,8.1,176.51,58.99,59.33,60.15,61.0,59.03,59.5,58.41,60.06,43.53,60.0,25851240.0,50.44,+,+,+,,,,,-_11-03-2024 09:00:00,-_11-03-2024 09:00:00,,-,+,+,,,,,+,+,,+,+,9,1
ORGE,29-04-2024,74.65,3.82,21.95,73.01,72.96,72.21,69.62,73.08,72.89,72.44,73.91,29.03,72.82,5215329.0,58.25,+,+,,+,,,+,+_29-04-2024 09:00:00,+_29-05-2023 09:00:00,,,+,+,,+,,,,+,,,,8,0
EUYO,29-04-2024,19.0,13.1,35.17,17.81,17.69,17.33,16.64,17.85,17.63,17.82,17.86,7.52,18.34,3374732.67,57.99,+,+,+,+,,,+,+_29-04-2024 09:00:00,+_29-01-2024 09:00:00,-,,+,,,+,,,,,,+,,8,1
YESIL,29-04-2024,4.82,11.57,1.44,4.33,4.27,4.26,4.31,4.39,4.26,4.18,4.23,3.17,4.82,111236945.67,57.4,,,,+,+,+,+,+_29-04-2024 09:00:00,+_29-04-2024 09:00:00,,,,+,,+,,,+,,+,,,8,0
TERA,29-04-2024,43.16,7.42,50.06,41.3,41.01,40.73,40.01,41.49,40.95,40.79,40.84,32.67,41.99,1611644.33,57.37,+,+,+,+,,,+,+_29-04-2024 09:00:00,+_29-04-2024 09:00:00,,,+,,,,,+,,,,+,,8,0
DOKTA,29-04-2024,36.76,4.08,35.75,35.78,35.69,35.65,35.52,35.87,35.68,35.34,35.94,21.9,36.76,3490925.0,53.65,,+,+,+,+,+,+,+_29-04-2024 09:00:00,+_29-04-2024 09:00:00,,,,+,,-,,,,,,+,,8,1
DENGE,29-04-2024,2.99,14.12,78.83,2.8,2.81,2.81,2.77,2.81,2.81,2.79,2.86,2.14,2.92,118351108.67,55.38,+,+,+,,,+,,-_01-04-2024 09:00:00,+_29-04-2024 09:00:00,,,+,+,,+,,,+,,,,,8,0
TEZOL,29-04-2024,23.38,5.13,7.87,22.68,22.58,22.29,21.68,22.73,22.53,22.52,22.77,10.73,22.97,18809667.67,57.56,+,+,,+,,,+,+_29-04-2024 09:00:00,+_15-01-2024 09:00:00,,,+,+,,,,+,,+,,,,8,0
HUNER,29-04-2024,7.46,5.37,10.69,7.22,7.23,7.28,7.38,7.23,7.24,7.14,7.33,6.9,7.23,97057177.33,50.04,+,+,+,,,,,-_11-03-2024 09:00:00,-_18-03-2024 09:00:00,,,,+,,,,,+,,+,+,+,8,0
PCILT,29-04-2024,14.15,9.1,72.37,13.53,13.6,13.7,13.63,13.55,13.63,13.31,13.84,9.39,13.92,11939542.0,52.63,+,+,+,,,,,-_18-03-2024 09:00:00,-_01-04-2024 09:00:00,,,+,,+,,,+,,+,,,,7,0
OZKGY,29-04-2024,8.88,3.98,-29.15,8.67,8.72,8.79,8.82,8.67,8.74,8.61,8.86,5.16,8.79,47166734.0,50.91,+,+,+,,,,,-_18-03-2024 09:00:00,-_25-03-2024 09:00:00,,,,+,+,-,,+,,,,,+,7,1
ASTOR,29-04-2024,104.1,7.54,76.91,100.09,101.23,103.43,105.32,100.07,101.7,98.68,103.37,90.93,101.37,65583207.67,49.06,+,+,+,,,,,-_11-03-2024 09:00:00,-_18-03-2024 09:00:00,,-,+,,,,,,+,+,,,+,7,1
SELVA,29-04-2024,14.66,2.52,-17.06,14.5,14.48,14.35,14.11,14.49,14.47,14.55,14.63,11.64,14.47,9780010.33,54.48,+,+,+,+,,,+,+_29-04-2024 09:00:00,+_05-02-2024 09:00:00,-,,+,,,,,+,,,,,,7,1
TEKTU,29-04-2024,3.99,7.26,-16.37,3.69,3.65,3.63,3.61,3.73,3.65,3.6,3.67,2.49,3.93,51965290.0,58.1,,,,+,+,+,+,+_29-04-2024 09:00:00,+_29-04-2024 09:00:00,,,,+,,+,,,,,+,,,7,0
MZHLD,29-04-2024,8.83,3.4,76.28,8.58,8.58,8.63,8.67,8.61,8.59,8.46,8.64,6.32,8.69,9242099.67,51.97,,,+,,,,+,+_29-04-2024 09:00:00,-_18-03-2024 09:00:00,,-,,+,,+,,+,+,,,+,,7,1
LRSHO,29-04-2024,3.23,8.03,57.54,3.1,3.07,2.99,2.88,3.11,3.06,3.08,3.08,1.76,3.2,142617531.0,60.63,+,+,,,,,,+_15-01-2024 09:00:00,+_22-01-2024 09:00:00,,,+,+,,+,,+,+,,,,,7,0
QUAGR,29-04-2024,4.45,8.01,111.65,4.22,4.21,4.3,4.55,4.24,4.22,4.16,4.18,3.24,4.39,196043175.33,43.83,,+,+,+,,,+,+_29-04-2024 09:00:00,-_29-04-2024 09:00:00,,,,+,,,,,+,,,,+,7,0
DEVA,29-04-2024,76.6,4.93,23.48,74.89,75.44,76.53,77.28,74.87,75.67,74.48,76.24,46.45,75.33,2642901.0,49.4,+,+,+,,,,,-_26-02-2024 09:00:00,-_11-03-2024 09:00:00,,,+,+,,-,,+,,,,,+,7,1
ECILC,29-04-2024,55.05,7.31,15.28,52.44,52.18,51.71,50.73,52.61,52.1,52.04,52.5,26.24,53.9,17118293.67,60.19,,+,,+,+,,+,+_29-04-2024 09:00:00,+_22-01-2024 09:00:00,,,,,,+,,,,+,,+,,7,0
EKGYO,29-04-2024,10.34,6.82,-14.35,10.01,10.04,9.95,9.65,9.99,10.04,10.0,10.25,5.49,10.14,895145384.0,56.05,+,+,+,,+,,,-_15-04-2024 09:00:00,+_08-01-2024 09:00:00,,,+,+,,+,,,,,,,,7,0
ULUUN,29-04-2024,30.0,2.81,-15.43,29.05,28.99,29.06,29.21,29.16,28.99,28.59,29.15,19.89,29.53,7626161.67,52.86,,,,+,,,+,+_29-04-2024 09:00:00,-_18-03-2024 09:00:00,,,,+,,+,,+,,,+,+,,7,0
KLMSN,29-04-2024,38.68,20.12,195.07,34.24,33.43,32.43,30.97,34.7,33.22,33.06,33.29,17.49,36.78,6017469.67,68.3,,,,,,,,+_15-04-2024 09:00:00,+_15-01-2024 09:00:00,,,,+,,+,,+,+,+,+,+,,7,0
PAMEL,29-04-2024,143.7,4.13,35.71,139.43,139.13,139.2,140.5,139.79,139.12,137.82,140.1,116.02,141.3,1182943.67,50.64,,,+,+,+,,+,+_29-04-2024 09:00:00,-_11-03-2024 09:00:00,,,,+,,-,,,,+,,+,,7,1
NUHCM,29-04-2024,303.0,4.84,118.06,296.32,297.91,300.69,299.78,296.27,298.58,294.94,300.21,141.69,302.0,1406102.67,52.58,+,+,+,,,,,-_04-03-2024 09:00:00,-_01-04-2024 09:00:00,,,+,+,,-,,+,,+,,,,7,1
TUKAS,29-04-2024,8.91,5.44,44.51,8.51,8.44,8.37,8.27,8.56,8.42,8.39,8.45,4.91,8.85,146596383.33,58.0,,,,,,,,+_22-04-2024 09:00:00,+_15-04-2024 09:00:00,,,,+,+,+,,+,+,,+,+,,7,0
GOZDE,29-04-2024,25.18,8.72,21.22,24.28,24.43,24.64,24.7,24.26,24.48,24.28,24.81,14.49,24.61,8832628.33,51.86,+,+,+,,,,,-_25-03-2024 09:00:00,-_01-04-2024 09:00:00,,,+,+,,-,,+,,,,,+,7,1
KRDMB,29-04-2024,21.26,10.96,13.7,19.6,19.53,19.68,19.91,19.74,19.55,19.12,19.61,12.98,20.58,7664047.67,56.29,,,+,+,,,+,+_29-04-2024 09:00:00,-_11-03-2024 09:00:00,,,,+,,+,,,,,,+,+,7,0
BEGYO,29-04-2024,5.33,4.72,-63.6,4.91,4.85,4.8,4.73,4.96,4.84,4.76,4.87,4.58,5.26,134936128.0,56.88,,,,+,+,,,+_22-04-2024 09:00:00,+_22-04-2024 09:00:00,,,,+,,,,,,+,+,+,,6,0
BORLS,29-04-2024,34.96,2.52,-39.42,34.4,34.41,34.7,35.04,34.49,34.46,33.92,34.44,35.47,34.35,18385964.33,49.54,+,+,+,,,,+,+_29-04-2024 09:00:00,-_04-03-2024 09:00:00,,,+,,,,,+,,,,,,6,0
KRDMA,29-04-2024,22.38,9.71,28.81,20.69,20.58,20.75,21.04,20.85,20.6,20.14,20.6,13.68,21.74,9463734.67,55.58,,,+,+,,,+,+_29-04-2024 09:00:00,-_11-03-2024 09:00:00,,,,,,+,,,,,,+,+,6,0
MAKTK,29-04-2024,7.14,5.0,-5.74,7.03,6.98,6.84,6.62,7.04,6.95,6.99,7.0,4.24,6.99,21145919.0,57.83,+,+,,,,,,+_22-01-2024 09:00:00,+_22-01-2024 09:00:00,-,,+,+,,+,,+,,,-,,,6,2
EUPWR,29-04-2024,156.7,2.02,54.33,155.81,157.57,160.87,164.44,155.49,158.25,155.02,159.71,158.49,155.7,10121661.33,44.91,+,,,,,,,-_04-03-2024 09:00:00,-_04-03-2024 09:00:00,,,+,,,,,+,+,+,,,+,6,0
MARBL,29-04-2024,19.66,6.04,3.01,18.91,18.97,19.01,18.89,18.93,18.99,18.64,19.39,18.46,19.22,29439039.0,53.17,,+,+,,,+,,-_18-03-2024 09:00:00,+_29-04-2024 09:00:00,,-,,,+,,,+,,+,,,,6,1
KRDMD,29-04-2024,28.1,8.49,17.95,25.97,25.69,25.61,25.52,26.21,25.66,25.24,25.59,15.5,27.31,267336390.67,59.92,,,,+,+,+,+,+_29-04-2024 09:00:00,+_29-04-2024 09:00:00,,,,,,+,,,,,,,+,6,0
ATSYH,29-04-2024,57.65,16.37,47.17,51.18,50.15,50.28,52.11,51.91,50.05,49.42,49.19,48.45,55.28,299123.33,54.0,,,,+,+,,+,+_29-04-2024 09:00:00,-_11-12-2023 09:00:00,+,,,,,-,,+,,,,,+,6,1
IHEVA,29-04-2024,2.69,5.49,45.74,2.52,2.51,2.51,2.49,2.54,2.51,2.44,2.53,1.77,2.67,57428902.33,55.26,,,,+,+,+,+,+_29-04-2024 09:00:00,+_29-04-2024 09:00:00,,-,,+,,-,,,,,,+,,6,2
ODAS,29-04-2024,10.0,5.37,20.52,9.54,9.5,9.55,9.66,9.58,9.51,9.38,9.55,6.18,9.89,363742505.67,52.37,,,,+,,,+,+_29-04-2024 09:00:00,-_18-03-2024 09:00:00,,,,+,+,-,,,,+,+,,,6,1
HATEK,29-04-2024,15.47,7.28,21.01,14.75,14.64,14.4,13.91,14.81,14.6,14.58,14.74,8.17,15.15,14473152.0,60.05,,,,+,,,+,+_29-04-2024 09:00:00,+_10-07-2023 09:00:00,,,,+,,+,,+,,+,,,,6,0
YEOTK,29-04-2024,236.3,6.83,32.52,223.24,222.27,221.29,216.87,224.29,222.13,219.46,223.94,82.47,227.03,10880382.33,56.75,,,,+,+,,+,+_29-04-2024 09:00:00,+_08-01-2024 09:00:00,,,,+,,,,,,+,,+,,6,0
AKSGY,29-04-2024,19.54,18.86,33.12,17.43,17.03,16.43,15.46,17.64,16.91,17.03,16.92,6.74,18.53,24194456.67,76.44,,,,,,,,+_02-01-2024 09:00:00,+_12-06-2023 09:00:00,+,,,+,,+,,,+,+,,+,,6,0
OFSYM,29-04-2024,49.5,4.78,170.49,48.38,49.09,50.35,52.01,48.28,49.36,47.93,50.34,56.71,51.22,7219524.67,45.53,+,+,,,,,,-_11-03-2024 09:00:00,-_11-03-2024 09:00:00,,-,+,,,,,-,+,+,,,+,6,2
ARDYZ,29-04-2024,44.14,7.03,-19.44,43.23,43.7,43.21,40.57,43.07,43.73,43.0,45.5,14.38,43.46,27236154.0,56.85,+,+,+,,+,,,-_25-03-2024 09:00:00,+_29-04-2024 09:00:00,,,+,,,,,+,,,,,,6,0
FRIGO,29-04-2024,8.41,5.39,75.88,8.06,8.0,7.93,7.82,8.1,7.99,7.92,8.04,5.0,8.27,11173541.0,58.1,,,,+,,,,+_22-04-2024 09:00:00,+_08-04-2024 09:00:00,,,,+,,+,,+,+,,,+,,6,0
GESAN,29-04-2024,79.4,7.88,34.54,74.74,74.2,74.41,75.29,75.23,74.18,73.22,74.03,39.18,76.63,21536311.0,53.86,,,,+,+,,+,+_29-04-2024 09:00:00,-_04-03-2024 09:00:00,,,,+,,,,+,,,+,,,6,0
MTRKS,29-04-2024,68.45,8.22,22.82,65.77,66.32,65.27,61.35,65.61,66.3,65.66,69.2,29.74,64.9,3722708.0,57.6,+,+,+,,+,,,-_01-04-2024 09:00:00,+_29-04-2024 09:00:00,,,+,,,,,+,,,,,,6,0
VESTL,29-04-2024,96.3,14.03,179.29,88.98,86.41,82.25,77.05,89.9,85.54,87.57,85.33,43.63,91.98,49999425.67,69.23,+,,,,,,,+_29-01-2024 09:00:00,+_05-02-2024 09:00:00,,,+,,,+,,+,,+,,+,,6,0
PSDTC,29-04-2024,149.4,29.91,487.81,124.65,116.85,106.91,95.61,127.9,114.62,119.72,110.49,40.58,139.23,1244187.0,79.41,,,,,,,,+_15-01-2024 09:00:00,+_26-06-2023 09:00:00,,,,,,+,,+,+,+,,+,,5,0
ALMAD,29-04-2024,7.9,3.54,-8.93,7.77,7.8,7.84,7.86,7.77,7.81,7.73,7.9,4.45,7.74,13303848.67,50.93,+,+,+,,,,,-_25-03-2024 09:00:00,-_25-03-2024 09:00:00,,,+,,,-,,+,,,,,,5,1
GLRYH,29-04-2024,12.77,3.57,-0.41,12.39,12.39,12.35,12.14,12.42,12.39,12.23,12.57,6.81,12.49,8780385.67,55.35,,,,+,+,,+,+_29-04-2024 09:00:00,+_25-12-2023 09:00:00,,,,,,+,,,,+,,,,5,0
BRISA,29-04-2024,126.6,6.21,29.3,124.96,123.51,119.24,112.07,125.11,122.76,125.48,123.83,52.57,125.77,3368340.33,61.02,+,+,,,,,,+_15-01-2024 09:00:00,+_12-06-2023 09:00:00,,,+,,,+,,+,,,,,,5,0
SAFKR,29-04-2024,42.1,3.03,2.39,41.32,40.97,40.28,38.57,41.48,40.86,40.71,40.95,17.33,41.15,4489232.67,60.06,+,,,,,,,+_08-04-2024 09:00:00,+_26-06-2023 09:00:00,,,+,+,,+,,+,,,,,,5,0
ALCTL,29-04-2024,116.6,0.95,-35.13,116.27,116.35,114.98,111.67,116.16,116.2,116.08,118.29,61.74,116.63,2526100.67,55.4,+,+,,,,,,-_01-04-2024 09:00:00,+_22-01-2024 09:00:00,,,+,,,+,,,,+,,,,5,0
KLRHO,29-04-2024,45.0,4.36,-20.88,44.11,44.51,44.39,42.87,44.0,44.57,43.9,45.93,24.33,44.6,3282042.33,54.77,+,+,+,,,,,-_25-03-2024 09:00:00,+_29-04-2024 09:00:00,,,+,,,,,+,,,,,,5,0
SNPAM,29-04-2024,109.0,9.33,-39.29,97.57,95.93,96.56,96.34,98.98,95.9,94.33,93.3,37.13,102.72,375266.33,57.45,,,,+,+,+,+,+_29-04-2024 09:00:00,+_29-04-2024 09:00:00,+,,,,,-,,,,,,,,5,1
TTRAK,29-04-2024,942.0,4.09,58.68,924.21,915.19,893.9,860.1,925.91,911.19,927.46,913.77,379.64,929.33,2160951.0,63.74,+,+,,,,,,+_29-01-2024 09:00:00,+_22-01-2024 09:00:00,,,+,,,+,,+,,,,,,5,0
CLEBI,29-04-2024,1846.0,7.76,4.98,1759.58,1684.64,1561.86,1412.59,1779.9,1658.61,1748.8,1618.92,587.15,1802.67,835874.33,73.75,+,,,,,,,+_22-01-2024 09:00:00,+_08-01-2024 09:00:00,,,+,,,+,,+,,,,+,,5,0
TATEN,29-04-2024,34.3,5.67,10.58,33.75,34.29,35.19,36.39,33.65,34.48,33.53,35.19,40.11,33.61,18604762.0,45.77,+,+,,,,,,-_04-03-2024 09:00:00,-_04-03-2024 09:00:00,,,+,+,,,,+,,,,,,5,0
DZGYO,29-04-2024,5.32,8.35,-3.53,5.03,4.98,4.94,4.86,5.06,4.97,4.93,4.99,3.04,5.14,15184603.33,59.19,,,,+,,,,+_22-04-2024 09:00:00,+_22-01-2024 09:00:00,,,,+,,+,,+,,,,+,,5,0
DURDO,29-04-2024,17.35,6.38,-46.51,16.73,16.83,17.02,17.14,16.75,16.87,16.53,17.04,10.86,16.96,2991812.33,51.37,+,+,+,,,,,-_11-03-2024 09:00:00,-_18-03-2024 09:00:00,,,+,,,-,,+,,,,,,5,1
BVSAN,29-04-2024,132.2,19.42,185.46,118.54,115.47,112.02,107.87,120.04,114.67,115.33,113.61,85.96,124.73,5978613.67,65.85,+,,,,,,,+_01-04-2024 09:00:00,+_29-01-2024 09:00:00,,,+,+,,,,+,,,,+,,5,0
GLBMD,29-04-2024,40.82,2.56,169.85,39.49,39.39,39.34,38.7,39.62,39.39,39.07,39.49,17.26,41.15,2071302.67,56.27,,,,+,+,,+,+_29-04-2024 09:00:00,+_22-04-2024 09:00:00,,,,,,-,,-,+,,,+,,5,2
QNBFB,29-04-2024,410.0,36.89,29.16,327.17,311.44,298.92,285.55,336.12,308.12,309.98,297.1,114.89,375.0,169052.0,71.61,,,,,,,,+_26-02-2024 09:00:00,+_26-02-2024 09:00:00,,+,,,,+,,+,+,,+,,,5,0
CASA,29-04-2024,98.65,2.44,34.51,97.3,97.55,98.53,101.01,97.31,97.69,97.04,98.21,97.59,97.67,217439.67,46.97,+,+,+,,,,,-_11-03-2024 09:00:00,-_04-12-2023 09:00:00,,,+,,,-,+,,,,,,,5,1
AKFYE,29-04-2024,25.98,7.62,71.96,24.96,24.72,24.07,22.85,25.06,24.61,24.69,25.01,17.91,25.84,75647731.67,57.53,+,+,,,,,,+_15-04-2024 09:00:00,+_15-01-2024 09:00:00,,,+,,,,,+,,+,,,,5,0
AKFGY,29-04-2024,2.32,2.65,-19.69,2.29,2.29,2.29,2.28,2.28,2.29,2.28,2.33,1.64,2.3,388290461.33,51.85,+,+,+,,,+,,-_01-04-2024 09:00:00,+_29-04-2024 09:00:00,,,,,,+,,,,,,,,5,0
HLGYO,29-04-2024,3.44,4.56,-13.53,3.2,3.16,3.13,3.09,3.23,3.16,3.12,3.18,2.11,3.37,182153483.33,59.5,,,,+,,,+,+_29-04-2024 09:00:00,+_22-04-2024 09:00:00,,,,,,+,,,,+,+,,,5,0
OSTIM,29-04-2024,6.71,8.58,76.93,6.31,6.38,6.67,7.12,6.33,6.43,6.17,6.46,4.4,6.48,25601373.0,45.11,,+,+,,,,,-_27-11-2023 09:00:00,-_18-12-2023 09:00:00,,,,+,,-,,+,+,,,,,5,1
MAALT,29-04-2024,1404.0,13.13,87.5,1290.3,1262.64,1221.72,1156.27,1303.09,1254.38,1266.38,1252.72,482.92,1359.33,233880.67,67.08,,,,,,,,+_15-01-2024 09:00:00,+_05-06-2023 09:00:00,,,,,,+,,+,+,,+,+,,5,0
